age,education_level,university_tier,cgpa,internships,projects,programming_languages,certifications,experience_years,hackathons,research_papers,skills_score,hired,soft_skills_score,resume_length_words,company_type
31,Bachelors,Tier 2,8.16,1,4,2,1,0.49,0,2,13.5,0,9.79,321,MNC
25,Bachelors,Tier 1,7.68,2,3,4,0,0.17,1,1,15.0,1,7.28,443,MNC
34,Bachelors,Tier 2,7.29,1,2,4,0,0.45,1,0,13.0,1,3.58,422,MNC
27,Bachelors,Tier 3,9.06,3,5,2,1,0.65,0,0,15.5,1,4.57,431,MNC
22,Masters,Tier 2,6.52,0,6,4,0,0.97,0,0,20.0,0,7.34,599,Startup
21,Bachelors,Tier 2,7.4,0,0,4,0,2.32,0,0,8.0,1,4.2,561,Mid-size
26,Bachelors,Tier 2,8.19,3,3,3,2,0.62,1,0,16.0,1,7.51,267,Startup
25,Bachelors,Tier 1,8.77,4,1,1,2,0.16,0,0,7.0,0,3.7,563,MNC
28,Bachelors,Tier 1,7.62,1,1,2,0,4.97,0,0,6.0,1,7.18,451,Startup
24,Bachelors,Tier 3,6.88,1,1,1,1,7.07,0,0,5.5,1,3.72,679,Startup
28,Bachelors,Tier 1,7.6,2,6,5,1,1.04,0,0,23.5,1,7.05,428,MNC
22,Bachelors,Tier 2,5.77,5,4,3,0,0.21,0,0,14.0,0,5.91,354,MNC
21,Masters,Tier 2,7.8,1,4,1,1,1.36,2,0,13.5,0,8.5,521,Mid-size
22,Bachelors,Tier 2,7.28,4,1,5,1,1.96,0,0,13.5,1,9.5,612,Startup
30,Masters,Tier 2,8.62,0,3,4,1,0.36,0,1,15.5,0,7.22,321,MNC
25,Bachelors,Tier 1,6.55,0,4,1,0,2.84,0,0,10.0,1,6.48,210,MNC
31,Bachelors,Tier 2,7.68,1,6,1,2,0.75,0,0,17.0,1,8.11,414,Startup
24,Bachelors,Tier 1,8.13,0,3,2,0,2.23,1,0,11.0,1,4.58,404,Startup
32,Bachelors,Tier 3,7.66,0,1,2,3,1.52,0,0,10.5,1,6.31,353,Mid-size
29,Bachelors,Tier 3,7.23,0,1,3,1,0.07,0,1,9.5,1,7.16,469,Mid-size
31,Masters,Tier 2,7.43,1,3,1,3,0.25,1,1,13.5,1,3.4,367,Mid-size
31,Bachelors,Tier 2,8.84,1,8,5,0,1.27,0,0,26.0,0,5.51,348,Mid-size
23,Bachelors,Tier 1,8.01,0,2,2,0,2.02,0,0,8.0,1,8.52,413,MNC
31,Bachelors,Tier 1,9.22,2,3,2,1,0.45,1,0,12.5,0,7.93,286,Mid-size
26,Bachelors,Tier 1,7.81,0,0,5,1,0.52,0,1,11.5,0,7.6,335,MNC
29,PhD,Tier 1,6.11,1,3,5,1,5.84,1,0,18.5,0,5.69,641,MNC
24,PhD,Tier 2,6.77,2,6,1,1,2.29,1,0,16.5,1,3.44,226,MNC
25,Bachelors,Tier 3,6.8,1,1,1,1,0.55,0,1,5.5,1,4.43,606,Startup
21,Masters,Tier 1,6.76,0,2,3,1,0.43,1,0,12.5,0,9.5,503,Startup
30,Bachelors,Tier 3,8.25,2,4,4,0,1.53,0,0,16.0,0,7.08,284,Startup
28,Masters,Tier 2,7.92,0,7,2,3,2.34,1,0,23.5,1,5.4,435,Startup
24,PhD,Tier 3,7.52,0,7,2,1,0.26,1,0,20.5,1,5.66,328,Startup
33,Bachelors,Tier 3,6.24,3,2,2,1,0.21,1,0,10.5,1,3.82,524,MNC
32,Bachelors,Tier 2,7.65,1,1,5,1,3.04,1,0,14.5,1,8.75,434,MNC
30,Masters,Tier 1,7.72,0,5,3,3,1.29,2,0,22.5,1,7.16,622,Startup
32,Bachelors,Tier 3,7.57,1,1,2,1,3.11,0,0,7.5,0,6.39,342,Mid-size
21,Bachelors,Tier 2,8.35,0,3,3,0,1.95,1,0,13.0,1,7.44,317,Mid-size
29,Bachelors,Tier 1,7.4,1,7,5,0,1.3,0,0,24.0,0,4.78,610,Startup
32,Bachelors,Tier 3,7.79,2,2,5,0,0.73,0,0,14.0,0,5.38,300,Startup
25,Masters,Tier 3,6.64,3,4,1,0,0.41,1,0,11.0,0,8.62,482,Startup
32,Bachelors,Tier 2,8.17,3,6,1,2,0.93,1,0,18.0,1,3.16,635,MNC
25,PhD,Tier 1,8.11,0,2,1,0,2.62,0,0,6.0,1,3.61,425,Startup
22,Bachelors,Tier 2,8.4,1,0,5,1,1.11,0,0,11.5,1,4.53,587,Startup
27,Bachelors,Tier 3,7.19,1,4,4,0,0.98,1,2,17.0,0,4.8,529,Startup
25,Bachelors,Tier 2,6.96,2,5,2,3,1.79,0,0,18.5,1,6.22,467,Startup
27,Bachelors,Tier 1,6.24,4,4,3,2,3.37,0,0,17.0,0,9.35,706,MNC
26,Bachelors,Tier 2,6.71,2,4,1,1,0.49,0,1,11.5,0,8.53,567,Startup
30,Bachelors,Tier 3,7.71,3,2,1,0,0.59,0,0,6.0,1,5.87,372,Startup
28,Bachelors,Tier 2,7.87,2,6,2,1,1.57,0,0,17.5,1,6.26,338,Mid-size
34,Bachelors,Tier 2,8.39,2,0,1,0,0.14,0,0,2.0,1,3.21,242,Startup
34,PhD,Tier 1,7.1,0,3,3,3,1.23,0,0,16.5,1,5.7,424,MNC
26,Bachelors,Tier 2,7.88,2,9,4,3,0.21,2,0,32.5,1,6.52,399,MNC
21,Bachelors,Tier 1,7.72,1,2,2,0,0.29,1,0,9.0,1,9.51,282,MNC
24,Bachelors,Tier 3,7.17,0,1,5,1,1.07,1,0,14.5,1,7.45,566,Startup
23,Bachelors,Tier 2,8.62,3,3,5,1,1.97,0,0,17.5,1,6.03,256,Mid-size
33,Masters,Tier 3,8.31,0,5,1,3,0.22,1,0,17.5,1,5.25,307,Startup
22,Bachelors,Tier 1,7.33,0,2,1,2,5.97,0,0,9.0,1,4.6,486,MNC
23,Masters,Tier 2,6.02,1,3,4,2,1.62,0,0,17.0,1,7.0,476,Startup
22,Bachelors,Tier 1,6.83,1,2,5,2,0.48,0,0,17.0,1,6.41,546,Startup
24,Bachelors,Tier 1,7.44,5,2,2,2,4.16,2,0,13.0,0,6.59,428,MNC
22,Masters,Tier 3,7.54,2,6,3,1,1.98,0,1,19.5,0,7.23,355,MNC
26,Bachelors,Tier 3,8.28,2,4,4,2,2.58,1,0,20.0,1,6.46,303,Mid-size
34,Bachelors,Tier 1,7.27,2,2,3,0,0.54,0,1,10.0,1,5.14,459,MNC
33,Bachelors,Tier 2,6.55,3,3,5,1,0.01,2,0,19.5,1,8.33,504,MNC
27,Bachelors,Tier 1,7.5,0,5,1,2,0.4,0,1,15.0,0,7.34,342,Startup
